SPACY,GLOSS,AS,AGREEMENT
AdjectiveAlone,yyy too big,AdjectiveAlone,1
PredicateNounPrenominal,are you wearing big kid pants,PredicateNounPrenominal,1
StandAlonePrenominal,a big one,StandAlonePrenominal,1
PredicateNounPrenominal,that's right Percy the small engine helps the big engines and who's this,PredicateNounPrenominal,1
SubjectNounPrenominal,but the big bear's gonna climb up I think,SubjectNounPrenominal,1
PredicateNounPrenominal,this is where the asteroid which is like a big rock landed on the Earth and made that huge crater,PredicateNounPrenominal,1
PredicateNounPrenominal,I think that's a big s you don't need to find a small s you can just find a big s,PredicateNounPrenominal,1
PredicateNounPrenominal,there's a that was a little girl there in the black who hold your big puppy for a little bit then she gave it back to you xxx you're playing with Matthew,PredicateNounPrenominal,1
StandAlonePrenominal,yyy and the big house and the little house,StandAlonePrenominal,1
StandAlonePrenominal,big cat little hat,StandAlonePrenominal,1
SubjectNounPredicate,they're so big that they hold xxx,SubjectNounPredicate,1
StandAlonePrenominal,yyy great big dragon,StandAlonePrenominal,1
StandAlonePrenominal,a big green ball,StandAlonePrenominal,1
PredicateNounPrenominal,the mouse has a big microphone,PredicateNounPrenominal,1
StandAlonePrenominal,oh okay one big ball huh,StandAlonePrenominal,1
StandAlonePrenominal,with a big T,StandAlonePrenominal,1
SubjectNounPredicate,I think my bear is big enough to go to the examination room by himself,SubjectNounPredicate,1
SubjectNounPredicate,they all say look at you what a big girl I can't believe how big she is,PredicateNounPrenominal,0
StandAlonePrenominal,no a big a over there,StandAlonePrenominal,1
AdjectiveAlone,a lil bit big,AdjectiveAlone,1
PredicateNounPrenominal,that's a big job,PredicateNounPrenominal,1
StandAlonePrenominal,big chunk of chocolate,StandAlonePrenominal,1
PredicateNounPrenominal,that was a big kick,PredicateNounPrenominal,1
PredicateNounPrenominal,fire engines do they make a big noise,PredicateNounPrenominal,1
PredicateNounPrenominal,the apron has a big pocket in front,PredicateNounPrenominal,1
PredicateNounPrenominal,okay it's a big store no conversation with the store owner okay I get it,PredicateNounPrenominal,1
PredicateNounPrenominal,whadya think about that big boy,PredicateNounPrenominal,1
PredicateNounPrenominal,wake up big barn,PredicateNounPrenominal,1
StandAlonePrenominal,a big boy,StandAlonePrenominal,1
PredicateNounPredicate,it's very big isn't it,SubjectNounPredicate,0
PredicateNounPrenominal,oh look at you big boy,PredicateNounPrenominal,1
SubjectNounPredicate,is that too big,SubjectNounPredicate,1
StandAlonePrenominal,a big circle,StandAlonePrenominal,1
SubjectNounPredicate,what's too big your socks,SubjectNounPredicate,1
PredicateNounPrenominal,got a big tube,PredicateNounPrenominal,1
PredicateNounPrenominal,yyy I got a big door,PredicateNounPrenominal,1
AdjectiveAlone,a big big xxx,AdjectiveAlone,1
PredicateNounPrenominal,that's the big spoon huh,PredicateNounPrenominal,1
StandAlonePrenominal,what a big girl,PredicateNounPrenominal,0
StandAlonePrenominal,yyy big a,StandAlonePrenominal,1
PredicateNounPrenominal,I think the small f will be on another side of the big f block,PredicateNounPrenominal,1
PredicateNounPrenominal,and did Nana give you your big Care_Bear,PredicateNounPrenominal,1
AdjectiveAlone,too big,AdjectiveAlone,1
StandAlonePrenominal,big bird,StandAlonePrenominal,1
AdjectiveAlone,uh oh pour it into the Jello cups after okay into a pan oh where's our big,AdjectiveAlone,1
AdjectiveAlone,big and small,AdjectiveAlone,1
PredicateNounPrenominal,after tea that sat in the big purple chair near the window and waited for snow,PredicateNounPrenominal,1
PredicateNounPrenominal,gave your big puppy back to you but there you are holding your puppy,PredicateNounPrenominal,1
PredicateNounPrenominal,yes those mice are carrying a big pineapple,PredicateNounPrenominal,1
PredicateNounPrenominal,find the big words,PredicateNounPrenominal,1
PredicateNounPrenominal,I see two big uh two big r,PredicateNounPrenominal,1
PredicateNounPrenominal,he has a big fin,PredicateNounPrenominal,1
PredicateNounPrenominal,you are a big girl,PredicateNounPrenominal,1
SubjectNounPrenominal,the two big ones are Texas and,SubjectNounPrenominal,1
StandAlonePrenominal,big shovel,StandAlonePrenominal,1
PredicateNounPrenominal,that's a big tulip,PredicateNounPrenominal,1
PredicateNounPrenominal,you went big clunk,PredicateNounPrenominal,1
PredicateNounPrenominal,I got you a my big sister got you a bunch of coffee,SubjectNounPrenominal,0
SubjectNounPredicate,it's too big for head inside,SubjectNounPredicate,1
PredicateNounPrenominal,what is this big gray animal,PredicateNounPrenominal,1
PredicateNounPrenominal,a little fire glowed and the kitchen was warm all through the night Mrs Bear and Sam sat in the big purple chair and waited,PredicateNounPrenominal,1
StandAlonePrenominal,yyy Geraldine big goat,StandAlonePrenominal,1
PredicateNounPrenominal,Frog swam fast and made big splashes,PredicateNounPrenominal,1
PredicateNounPrenominal,is that a big car,PredicateNounPrenominal,1
PredicateNounPrenominal,daddy come too in the yyy in the big one,PredicateNounPrenominal,1
AdjectiveAlone,it was a big piece kind of yeah,PredicateNounPrenominal,0
AdjectiveAlone,or you could do that while you're there you could walk around big xxx,PredicateAdjectiveAlone,0
PredicateNounPrenominal,ooh that's a big sticker,PredicateNounPrenominal,1
StandAlonePrenominal,big rocks,StandAlonePrenominal,1
StandAlonePrenominal,big bird,StandAlonePrenominal,1
AdjectiveAlone,too big big,AdjectiveAlone,1
AdjectiveAlone,too big,AdjectiveAlone,1
PredicateNounPrenominal,you see that witch she's got a big hat that witch,PredicateNounPrenominal,1
StandAlonePrenominal,yyy big yyy yyy potato baby potato head,StandAlonePrenominal,1
PredicateNounPrenominal,that's my big girl,PredicateNounPrenominal,1
PredicateNounPrenominal,you could use this if you don't tear it up and he could lie down on a big piece,PredicateNounPrenominal,1
PredicateNounPrenominal,it's like you know it's like a big you know long it was in a greenhouse like a big like sort of three connected rooms and there maybe fifty butterflies,PredicateAdjectiveAlone,0
PredicateNounPrenominal,Lily can you bring your big purple ball over here,PredicateNounPrenominal,1
PredicateNounPrenominal,oh you're gonna spend the day making a big tower,PredicateNounPrenominal,1
PredicateNounPrenominal,and she has a big tall hat,PredicateNounPrenominal,1
StandAlonePrenominal,a big triangle a big square,StandAlonePrenominal,1
SubjectNounPrenominal,the big truck drives down the bumpy road bumpy bumpy bumpy bumpy bumpy,SubjectNounPrenominal,1
PredicateNounPrenominal,look at the big beautiful moon,PredicateNounPrenominal,1
AdjectiveAlone,it has a big,PredicateAdjectiveAlone,0
StandAlonePrenominal,the witch's big night we like,SubjectNounPrenominal,0
AdjectiveAlone,too big,AdjectiveAlone,1
PredicateNounPrenominal,the cat fell upside down in the big milk bowl,PredicateNounPrenominal,1
StandAlonePrenominal,big diamond,StandAlonePrenominal,1
SubjectNounPredicate,how's xxx doing he's big now,SubjectNounPredicate,1
StandAlonePrenominal,a big squeeze,StandAlonePrenominal,1
StandAlonePrenominal,a big one,StandAlonePrenominal,1
SubjectNounPredicate,it's so big it's huge,SubjectNounPredicate,1
PredicateNounPrenominal,wow that must be an awfully big ship,PredicateNounPrenominal,1
AdjectiveAlone,a big xxx,StandAlonePrenominal,0
PredicateNounPrenominal,that's a big stick,PredicateNounPrenominal,1
PredicateNounPrenominal,where's the big ball,PredicateNounPrenominal,1
StandAlonePrenominal,big one,StandAlonePrenominal,1
PredicateNounPrenominal,it's that's the big four,PredicateNounPrenominal,1
SubjectNounPredicate,oh wow that's big,SubjectNounPredicate,1
PredicateNounPrenominal,I like yyy a big I'd like a big triangle,PredicateNounPrenominal,1
